Anlagen,AGS,Ort,Alter von bis unter,Bevölkerung insgesamt,Bevölkerung männlich,Bevölkerung weiblich
False,8,Land Baden-Württemberg,unter 3 Jahre,345251,177575,167676
False,8,Land Baden-Württemberg,3 -  6 Jahre,366298,187894,178404
False,8,Land Baden-Württemberg,6 - 10 Jahre,477822,244905,232917
False,8,Land Baden-Württemberg,10 - 15 Jahre,555961,285066,270895
False,8,Land Baden-Württemberg,15 - 18 Jahre,323346,165779,157567
False,8,Land Baden-Württemberg,18 - 20 Jahre,216406,110392,106014
False,8,Land Baden-Württemberg,20 - 25 Jahre,634911,321119,313792
False,8,Land Baden-Württemberg,25 - 30 Jahre,885562,456603,428959
False,8,Land Baden-Württemberg,30 - 35 Jahre,941874,490528,451346
False,8,Land Baden-Württemberg,35 - 40 Jahre,820031,423978,396053
False,8,Land Baden-Württemberg,40 - 45 Jahre,704350,355676,348674
False,8,Land Baden-Württemberg,45 - 50 Jahre,634053,321539,312514
False,8,Land Baden-Württemberg,50 - 55 Jahre,614270,311138,303132
False,8,Land Baden-Württemberg,55 - 60 Jahre,725442,364246,361196
False,8,Land Baden-Württemberg,60 - 65 Jahre,540540,267121,273419
False,8,Land Baden-Württemberg,65 - 75 Jahre,888010,370414,517596
False,8,Land Baden-Württemberg,75 und mehr Jahre,645240,192874,452366
False,8,Land Baden-Württemberg,Insgesamt,10319367,5046847,5272520
False,81,Regierungsbezirk Stuttgart,unter 3 Jahre,130509,66901,63608
False,81,Regierungsbezirk Stuttgart,3 -  6 Jahre,136864,70451,66413
False,81,Regierungsbezirk Stuttgart,6 - 10 Jahre,176672,90575,86097
False,81,Regierungsbezirk Stuttgart,10 - 15 Jahre,205058,105143,99915
False,81,Regierungsbezirk Stuttgart,15 - 18 Jahre,121694,62345,59349
False,81,Regierungsbezirk Stuttgart,18 - 20 Jahre,82234,41850,40384
False,81,Regierungsbezirk Stuttgart,20 - 25 Jahre,238174,121030,117144
False,81,Regierungsbezirk Stuttgart,25 - 30 Jahre,327971,169544,158427
False,81,Regierungsbezirk Stuttgart,30 - 35 Jahre,348684,183157,165527
False,81,Regierungsbezirk Stuttgart,35 - 40 Jahre,303613,157943,145670
False,81,Regierungsbezirk Stuttgart,40 - 45 Jahre,260311,131054,129257
False,81,Regierungsbezirk Stuttgart,45 - 50 Jahre,240854,121774,119080
False,81,Regierungsbezirk Stuttgart,50 - 55 Jahre,242465,123225,119240
False,81,Regierungsbezirk Stuttgart,55 - 60 Jahre,278546,140816,137730
False,81,Regierungsbezirk Stuttgart,60 - 65 Jahre,205732,103165,102567
False,81,Regierungsbezirk Stuttgart,65 - 75 Jahre,325057,136567,188490
False,81,Regierungsbezirk Stuttgart,75 und mehr Jahre,237873,72093,165780
False,81,Regierungsbezirk Stuttgart,Insgesamt,3862311,1897633,1964678
False,8111,Stadtkreis Stuttgart,unter 3 Jahre,16399,8386,8013
False,8111,Stadtkreis Stuttgart,3 -  6 Jahre,16478,8517,7961
False,8111,Stadtkreis Stuttgart,6 - 10 Jahre,20545,10491,10054
False,8111,Stadtkreis Stuttgart,10 - 15 Jahre,23733,12038,11695
False,8111,Stadtkreis Stuttgart,15 - 18 Jahre,15163,7615,7548
False,8111,Stadtkreis Stuttgart,18 - 20 Jahre,11304,5574,5730
False,8111,Stadtkreis Stuttgart,20 - 25 Jahre,37796,18384,19412
False,8111,Stadtkreis Stuttgart,25 - 30 Jahre,55546,28609,26937
False,8111,Stadtkreis Stuttgart,30 - 35 Jahre,57792,31467,26325
False,8111,Stadtkreis Stuttgart,35 - 40 Jahre,45840,24451,21389
False,8111,Stadtkreis Stuttgart,40 - 45 Jahre,38199,19274,18925
False,8111,Stadtkreis Stuttgart,45 - 50 Jahre,37857,19207,18650
False,8111,Stadtkreis Stuttgart,50 - 55 Jahre,39541,20037,19504
False,8111,Stadtkreis Stuttgart,55 - 60 Jahre,43634,22095,21539
False,8111,Stadtkreis Stuttgart,60 - 65 Jahre,31541,15667,15874
False,8111,Stadtkreis Stuttgart,65 - 75 Jahre,49568,19539,30029
False,8111,Stadtkreis Stuttgart,75 und mehr Jahre,44668,12812,31856
False,8111,Stadtkreis Stuttgart,Insgesamt,585604,284163,301441
False,8111000,"Stuttgart, Landeshauptstadt",unter 3 Jahre,16399,8386,8013
False,8111000,"Stuttgart, Landeshauptstadt",3 -  6 Jahre,16478,8517,7961
False,8111000,"Stuttgart, Landeshauptstadt",6 - 10 Jahre,20545,10491,10054
False,8111000,"Stuttgart, Landeshauptstadt",10 - 15 Jahre,23733,12038,11695
False,8111000,"Stuttgart, Landeshauptstadt",15 - 18 Jahre,15163,7615,7548
False,8111000,"Stuttgart, Landeshauptstadt",18 - 20 Jahre,11304,5574,5730
False,8111000,"Stuttgart, Landeshauptstadt",20 - 25 Jahre,37796,18384,19412
False,8111000,"Stuttgart, Landeshauptstadt",25 - 30 Jahre,55546,28609,26937
False,8111000,"Stuttgart, Landeshauptstadt",30 - 35 Jahre,57792,31467,26325
False,8111000,"Stuttgart, Landeshauptstadt",35 - 40 Jahre,45840,24451,21389
False,8111000,"Stuttgart, Landeshauptstadt",40 - 45 Jahre,38199,19274,18925
False,8111000,"Stuttgart, Landeshauptstadt",45 - 50 Jahre,37857,19207,18650
